Date,ECBR,FOMC
2000-01,3.0,
2000-02,3.25,5.75
2000-03,3.5,6.0
2000-04,3.75,
2000-05,3.75,6.5
2000-06,4.25,6.5
2000-07,4.25,
2000-08,4.5,6.5
2000-09,4.5,
2000-10,4.75,6.5
2000-11,4.75,6.5
2000-12,4.75,6.5
2001-01,4.75,5.75
2001-02,4.75,
2001-03,4.75,5.0
2001-04,4.75,4.75
2001-05,4.5,4.0
2001-06,4.5,3.75
2001-07,4.5,
2001-08,4.25,3.5
2001-09,3.75,3.25
2001-10,3.75,2.5
2001-11,3.25,2.0
2001-12,3.25,1.75
2002-01,3.25,1.75
2002-02,3.25,
2002-03,3.25,1.75
2002-04,3.25,
2002-05,3.25,1.75
2002-06,3.25,1.75
2002-07,3.25,
2002-08,3.25,1.75
2002-09,3.25,1.75
2002-10,3.25,
2002-11,3.25,1.25
2002-12,2.75,1.25
2003-01,2.75,1.25
2003-02,2.75,
2003-03,2.5,1.25
2003-04,2.5,1.25
2003-05,2.5,1.25
2003-06,2.0,1.0
2003-07,2.0,
2003-08,2.0,1.0
2003-09,2.0,1.0
2003-10,2.0,1.0
2003-11,2.0,
2003-12,2.0,1.0
2004-01,2.0,1.0
2004-02,2.0,
2004-03,2.0,1.0
2004-04,2.0,
2004-05,2.0,1.0
2004-06,2.0,1.25
2004-07,2.0,
2004-08,2.0,1.5
2004-09,2.0,1.75
2004-10,2.0,
2004-11,2.0,2.0
2004-12,2.0,2.25
2005-01,2.0,
2005-02,2.0,2.5
2005-03,2.0,2.75
2005-04,2.0,
2005-05,2.0,3.0
2005-06,2.0,3.25
2005-07,2.0,
2005-08,2.0,3.5
2005-09,2.0,3.75
2005-10,2.0,
2005-11,2.0,4.0
2005-12,2.25,4.25
2006-01,2.25,4.5
2006-02,2.25,
2006-03,2.5,4.75
2006-04,2.5,
2006-05,2.5,5.0
2006-06,2.75,5.25
2006-07,2.75,
2006-08,3.0,5.25
2006-09,3.0,5.25
2006-10,3.25,5.25
2006-11,3.25,
2006-12,3.5,5.25
2007-01,3.5,5.25
2007-02,3.5,
2007-03,3.75,5.25
2007-04,3.75,
2007-05,3.75,5.25
2007-06,4.0,5.25
2007-07,4.0,
2007-08,4.0,5.25
2007-09,4.0,4.75
2007-10,4.0,4.5
2007-11,4.0,
2007-12,4.0,4.375
2008-01,4.0,3.58333333333333
2008-02,4.0,
2008-03,4.0,2.625
2008-04,4.0,2.0
2008-05,4.0,
2008-06,4.0,2.0
2008-07,4.25,2.0
2008-08,4.25,2.0
2008-09,4.25,2.0
2008-10,3.75,1.25
2008-11,3.25,
2008-12,2.5,0.125
2009-01,2.0,0.125
2009-02,2.0,
2009-03,1.5,0.125
2009-04,1.25,0.125
2009-05,1.0,
2009-06,1.0,0.125
2009-07,1.0,
2009-08,1.0,0.125
2009-09,1.0,0.125
2009-10,1.0,
2009-11,1.0,0.125
2009-12,1.0,0.125
2010-01,1.0,0.125
2010-02,1.0,
2010-03,1.0,0.125
2010-04,1.0,0.125
2010-05,1.0,
2010-06,1.0,0.125
2010-07,1.0,
2010-08,1.0,0.125
2010-09,1.0,0.125
2010-10,1.0,0.125
2010-11,1.0,0.125
2010-12,1.0,0.125
2011-01,1.0,0.125
2011-02,1.0,
2011-03,1.0,0.125
2011-04,1.25,0.125
2011-05,1.25,
2011-06,1.25,0.125
2011-07,1.5,
2011-08,1.5,0.125
2011-09,1.5,0.125
2011-10,1.5,
2011-11,1.25,0.125
2011-12,1.0,0.125
2012-01,1.0,0.125
2012-02,1.0,
2012-03,1.0,0.125
2012-04,1.0,0.125
2012-05,1.0,
2012-06,1.0,0.125
2012-07,0.75,
2012-08,0.75,0.125
2012-09,0.75,0.125
2012-10,0.75,0.125
2012-11,0.75,
2012-12,0.75,0.125
2013-01,0.75,0.125
2013-02,0.75,
2013-03,0.75,0.125
2013-04,0.75,
2013-05,0.5,0.125
2013-06,0.5,0.125
2013-07,0.5,0.125
2013-08,0.5,
2013-09,0.5,0.125
2013-10,0.5,0.125
2013-11,0.25,
2013-12,0.25,0.125
2014-01,0.25,0.125
2014-02,0.25,
2014-03,0.25,0.125
2014-04,0.25,0.125
2014-05,0.25,
2014-06,0.15,0.125
2014-07,0.15,0.125
2014-08,0.15,
2014-09,0.05,0.125
2014-10,0.05,0.125
2014-11,0.05,
2014-12,0.05,0.125
2015-01,0.05,0.125
2015-03,0.05,0.125
2015-04,0.05,0.125
2015-06,0.05,0.125
2015-07,0.05,0.125
2015-09,0.05,0.125
2015-10,0.05,0.125
2015-12,0.05,0.375
2016-01,0.05,0.375
2016-03,0.0,0.375
2016-04,0.0,0.375
2016-06,0.0,0.375
2016-07,0.0,0.375
2016-09,0.0,0.375
2016-10,0.0,
2016-11,,0.375
2016-12,0.0,0.625
2017-01,0.0,
2017-02,,0.625
2017-03,0.0,0.875
2017-04,0.0,
2017-05,,0.875
2017-06,0.0,1.125
2017-07,0.0,1.125
2017-09,0.0,1.125
2017-10,0.0,
2017-11,,1.125
2017-12,0.0,1.375
2018-01,0.0,
2018-02,,1.375
2018-03,0.0,1.625
2018-04,0.0,
2018-05,,1.625
2018-06,0.0,1.875
2018-07,0.0,
2018-08,,1.875
2018-09,0.0,2.125
2018-10,0.0,
2018-11,,2.125
2018-12,0.0,2.375
2019-01,0.0,2.375
2019-03,0.0,2.375
2019-04,0.0,
2019-05,,2.375
2019-06,0.0,2.375
2019-07,0.0,
2019-08,,2.125
2019-09,0.0,1.875
2019-10,0.0,1.625
2019-12,0.0,1.625
2020-01,0.0,1.625
2020-03,0.0,0.625
2020-04,0.0,0.125
